Clement Garnett Morgan	instance of	Person
Clement Garnett Morgan	hasSex	Male
Clement Garnett Morgan	hasParticipantRole	Child
Clement Garnett Morgan	hasParticipantRole	Deceased Person
Clement Garnett Morgan	hasDescriptiveOccupation	Slave
Clement Garnett Morgan	hasDescriptiveOccupation	Civil Rights Activist
Clement Garnett Morgan	hasDescriptiveOccupation	Lawyer
Clement Garnett Morgan	hasFirstName	Clement Garnett
Clement Garnett Morgan	hasSurname	Morgan
Clement Garnett Morgan	hasName	Clement Garnett Morgan
Clement Garnett Morgan	hasDescription	Enslaved. Passed the bar in 1893, held several elected roles in Cambridge, MA. Became involved in the Niagara Movement (and was caught up in the subsequent split), and then in 1910 joined the newly-formed NAACP.
